2;4;An illuminated lighthouse on a hill by the highway;Day;A man wearing a large cap, munching on a pipe, and watching the cars going by
5;8;On the platform of a lighthouse;Day;A tall skinny man with a razor-like face and a rotund man with a cigarette dangling from his mouth 
9;15;On the platform of a lighthouse;Day;An adult male wearing a large cap, a tall skinny man with a razor-like face, and a rotund man with a cigarette dangling from his mouth 
16;27;On the platform of a lighthouse;Day;An adult male wearing a large cap, a tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
28;33;On the platform of a lighthouse;Day;A platinum blonde woman with an exaggerated bosom, an adult male wearing a large cap, a tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
34;44;On the platform of a lighthouse;Day;A platinum blonde woman with exuberant bosom, an adult male wearing a large cap, a tall slim man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
45;50;On the platform of a lighthouse;Day;A platinum blonde woman with an exaggerated bosom, an adult male wearing a large cap, a tall skinny man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
51;58;Inside a fast moving car on the highway;Day;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
59;72;Inside a fast moving car on the highway;Day;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
73;81;Inside a fast moving car on the highway;Day;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
82;89;On the side of a highway;Night;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
90;100;On the side of a highway;Night;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
101;104;Inside a fast moving car on the highway;Night;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
105;120;Inside a fast moving car on the highway;Night;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth 
121;133;On the shoulder of a highway;Night;A tall lean man with a razor-like face, a rotund man with a cigarette dangling from his mouth, a diminutive grumpy man, a small kidnapped girl, a group of bandits, and law enforcement officers from a helicopter.